date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:26	49/49	---MCZ	200	added ('OK')	text/plain	etag:W/%221d-563711dff2a2f%22	https://www.4por4.pt/robots.txt		(from )
12:21:26	14740/-1	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Aug%202019%2012:21:26%20GMT	https://www.4por4.pt/	C:/My%20Web%20Sites/astrology/www.4por4.pt/index.html	(from )
12:21:27	14740/14740	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Aug%202019%2012:21:26%20GMT	https://www.4por4.pt/en	C:/My%20Web%20Sites/astrology/www.4por4.pt/en.html	(from https://www.4por4.pt/)
12:21:27	48259/48259	---M-Z	200	added ('OK')	text/css	etag:%22bc83-56c50c1a5949e-gzip%22	https://www.4por4.pt/Assets/CSS/app.css?20180516	C:/My%20Web%20Sites/astrology/www.4por4.pt/Assets/CSS/app5e56.css	(from https://www.4por4.pt/)
12:21:29	26711/26711	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	C:/My%20Web%20Sites/astrology/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from https://www.4por4.pt/)
12:21:30	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-563711dfb8497%22	https://www.4por4.pt/favicon.ico	C:/My%20Web%20Sites/astrology/www.4por4.pt/favicon.ico	(from https://www.4por4.pt/)
12:21:30	10265/10265	---M-Z	200	added ('OK')	text/css	etag:%222819-578e6497909d4-gzip%22	https://www.4por4.pt/Assets/CSS/home.min.css?20180123	C:/My%20Web%20Sites/astrology/www.4por4.pt/Assets/CSS/home.min4847.css	(from https://www.4por4.pt/)
12:21:31	1285/1285	---M-Z	200	added ('OK')	text/css	etag:%22505-563711e632007-gzip%22	https://www.4por4.pt/Assets/Plugins/SlickSlideshow/slick.min.css	C:/My%20Web%20Sites/astrology/www.4por4.pt/Assets/Plugins/SlickSlideshow/slick.min.css	(from https://www.4por4.pt/)
12:21:31	13671/13671	---M-Z	200	added ('OK')	application/javascript	etag:%223567-563711e0df357-gzip%22	https://www.4por4.pt/Assets/JS/modernizr.min.js	C:/My%20Web%20Sites/astrology/www.4por4.pt/Assets/JS/modernizr.min.js	(from https://www.4por4.pt/)
12:21:33	44343/44343	---MC-	200	added ('OK')	text/javascript	date:Mon,%2029%20Jul%202019%2021:35:27%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/astrology/www.google-analytics.com/analytics.js	(from https://www.4por4.pt/)
